Fifty2525,Business Line (group),Business Line,Date Prefix,Revenue Type Note,Adjustments Outcome,No-Adjustments Value,Date,Framework Selection Calculation,Description1,Revenue and Expense Type,Year,Value
General Taxpayer Subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",16.15358887,16.15358887,1/1/2011,Dedicated Taxes and Subsidies,Local Operating Assistance,Dedicated Taxes and Subsidies,2011,16.15358887
Motor Vehicle Cross-subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",72.79897606,72.79897606,1/1/2011,Dedicated Taxes and Subsidies,MTA Aid,Dedicated Taxes and Subsidies,2011,72.79897606
General Taxpayer Subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",254.8560664,254.8560664,1/1/2011,Dedicated Taxes and Subsidies,Metropolitan Mass Transportation Operating Assist-Non PBT,Dedicated Taxes and Subsidies,2011,254.8560664
Motor Vehicle Cross-subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",10.80559167,10.80559167,1/1/2011,Dedicated Taxes and Subsidies,Metropolitan Mass Transportation Operating Assist-PBT Portion,Dedicated Taxes and Subsidies,2011,10.80559167
General Taxpayer Subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",0,0,1/1/2011,Dedicated Taxes and Subsidies,Mortgage Recording Tax,Dedicated Taxes and Subsidies,2011,0
General Taxpayer Subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",0,0,1/1/2011,Dedicated Taxes and Subsidies,Nassau County Subsidy,Dedicated Taxes and Subsidies,2011,0
Fares and Other Operating Revenue,LIRR,Long Island Rail Road,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",34.185,34.185,1/1/2011,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2011,34.185
General Taxpayer Subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",119.0760262,119.0760262,1/1/2011,Dedicated Taxes and Subsidies,Payroll Mobility Tax,Dedicated Taxes and Subsidies,2011,119.0760262
General Taxpayer Subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2011,Dedicated Taxes and Subsidies,Payroll Mobility Tax Replacement Funds,Dedicated Taxes and Subsidies,2011,
Motor Vehicle Cross-subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",60.12172481,60.12172481,1/1/2011,Dedicated Taxes and Subsidies,Petroleum Business Tax Receipts,Dedicated Taxes and Subsidies,2011,60.12172481
General Taxpayer Subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",18.96196487,18.96196487,1/1/2011,Dedicated Taxes and Subsidies,State Operating Assistance,Dedicated Taxes and Subsidies,2011,18.96196487
General Taxpayer Subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",99.14583682,99.14583682,1/1/2011,Dedicated Taxes and Subsidies,Station Maintenance,Dedicated Taxes and Subsidies,2011,99.14583682
Motor Vehicle Cross-subsidies,LIRR,Long Island Rail Road,,Includes tolls collected from the MTA's Bridges and Tunnels,0,0,1/1/2011,Toll Revenue,Toll Increase 2021,Toll Revenue,2011,
General Taxpayer Subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2012,Dedicated Taxes and Subsidies,AMTAP,Dedicated Taxes and Subsidies,2012,
Motor Vehicle Cross-subsidies,LIRR,Long Island Rail Road,,Includes tolls collected from the MTA's Bridges and Tunnels,201.3901555,201.3901555,1/1/2012,Toll Revenue,B&T Operating Surplus,Toll Revenue,2012,201.3901555
Motor Vehicle Cross-subsidies,LIRR,Long Island Rail Road,,Includes tolls collected from the MTA's Bridges and Tunnels,73.91770977,73.91770977,1/1/2012,Toll Revenue,B&T-Paid Debt Service,Toll Revenue,2012,73.91770977
Fares and Other Operating Revenue,LIRR,Long Island Rail Road,,Includes farebox revenue and unused fare media.,0,0,1/1/2012,Fare Revenue,Fare Increase 2021,Fare Revenue,2012,
Fares and Other Operating Revenue,LIRR,Long Island Rail Road,,Includes farebox revenue and unused fare media.,581.371,581.371,1/1/2012,Fare Revenue,Farebox Revenue,Fare Revenue,2012,581.371
Motor Vehicle Cross-subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2012,Dedicated Taxes and Subsidies,General Transportation Account,Dedicated Taxes and Subsidies,2012,
General Taxpayer Subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",0.652915472,0.652915472,1/1/2012,Dedicated Taxes and Subsidies,Investment Income,Dedicated Taxes and Subsidies,2012,0.652915472
General Taxpayer Subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",18.84408071,18.84408071,1/1/2012,Dedicated Taxes and Subsidies,Local Operating Assistance,Dedicated Taxes and Subsidies,2012,18.84408071
